,x,y
0,1.0,0.4338679461466446
1,2.0,0.4316984134124535
2,3.0,0.4295200732280391
3,4.0,0.4273327929990647
4,5.0,0.4251364389278784
5,6.0,0.422930875985701
6,7.0,0.4207159678843949
7,8.0,0.418491577047797
8,9.0,0.4162575645826151
9,10.0,0.4140137902488668
10,11.0,0.4117601124298548
11,12.0,0.4094963881016655
12,13.0,0.4072224728021731
13,14.0,0.4049382205995514
14,15.0,0.4026434840602575
15,16.0,0.4003381142165001
16,17.0,0.3980219605331563
17,18.0,0.3956948708741424
18,19.0,0.3933476778309659
19,20.0,0.3909979866413524
20,21.0,0.3886368830855262
21,22.0,0.3862642078301845
22,23.0,0.3838797997419449
23,24.0,0.3814834958488781
24,25.0,0.3790751313013031
25,26.0,0.3766545393318433
26,27.0,0.3742215512146938
27,28.0,0.3717759962241116
28,29.0,0.3693177015920767
29,30.0,0.36684649246512
30,31.0,0.3643621918602843
31,32.0,0.3618646206201945
32,33.0,0.3593535973672147
33,34.0,0.3568289384566676
34,35.0,0.3542904579290721
35,36.0,0.3517379674613978
36,37.0,0.3491712763172834
37,38.0,0.3465901912962001
38,39.0,0.3439945166815236
39,40.0,0.3413840541874908
40,41.0,0.338758602904992
41,42.0,0.3361179592461779
42,43.0,0.3334619168878388
43,44.0,0.3307902667135212
44,45.0,0.3281027967543328
45,46.0,0.3253992921284163
46,47.0,0.3226795349790239
47,48.0,0.3199433044111712
48,49.0,0.3171903764268125
49,50.0,0.3144205238584915
50,51.0,0.311633516301426
51,52.0,0.308829120043966
52,53.0,0.3060070979963748
53,54.0,0.3031672096178862
54,55.0,0.3003092108419657
55,56.0,0.2974328539997246
56,57.0,0.2945378877414278
57,58.0,0.2916240569560195
58,59.0,0.2886911026886042
59,60.0,0.285738762055814
60,61.0,0.2827764154336111
61,62.0,0.2797849343427269
62,63.0,0.2767732772020262
63,64.0,0.2737411659267683
64,65.0,0.2706883181380558
65,66.0,0.2676144470703224
66,67.0,0.2645192614766011
67,68.0,0.2614024655315012
68,69.0,0.2582637587318455
69,70.0,0.2551028357948802
70,71.0,0.2519193865540095
71,72.0,0.2487130958519678
72,73.0,0.2454836434313701
73,74.0,0.2422307038225621
74,75.0,0.2389539462286929
75,76.0,0.2356530344079351
76,77.0,0.2323276265527766
77,78.0,0.2289773751662958
78,79.0,0.2256019269353456
79,80.0,0.2222009226005626
80,81.0,0.2187739968231065
81,82.0,0.2153207780480578
82,83.0,0.2118408883643753
83,84.0,0.2083339433613284
84,85.0,0.2047994026681938
85,86.0,0.2012368957569191
86,87.0,0.197646112367057
87,88.0,0.1940266381527269
88,89.0,0.1903780512818231
89,90.0,0.1866999222502504
90,91.0,0.1829918136902082
91,92.0,0.1792532801722632
92,93.0,0.1754838680009151
93,94.0,0.1716831150033741
94,95.0,0.1678505503112295
95,96.0,0.1639856941346703
96,97.0,0.1600880575289051
97,98.0,0.1561571421523985
98,99.0,0.1521924400165199
