,x,y
0,1.0,0.8174306267487929
1,2.0,0.817430626748793
2,3.0,0.8174306267487931
3,4.0,0.817430626748793
4,5.0,0.8174306267487929
5,6.0,0.8174306267487929
6,7.0,0.8174306267487931
7,8.0,0.8174306267487929
8,9.0,0.8174306267487931
9,10.0,0.817430626748793
10,11.0,0.8174306267487931
11,12.0,0.817430626748793
12,13.0,0.8174306267487929
13,14.0,0.817430626748793
14,15.0,0.8174306267487931
15,16.0,0.817430626748793
16,17.0,0.817430626748793
17,18.0,0.8174306267487929
18,19.0,0.817430626748793
19,20.0,0.817430626748793
20,21.0,0.8174306267487929
21,22.0,0.8174306267487929
22,23.0,0.8174306267487929
23,24.0,0.8174306267487929
24,25.0,0.817430626748793
25,26.0,0.817430626748793
26,27.0,0.8174306267487931
27,28.0,0.817430626748793
28,29.0,0.8174306267487929
29,30.0,0.8174306267487929
30,31.0,0.8174306267487931
31,32.0,0.8174306267487931
32,33.0,0.8174306267487931
33,34.0,0.8174306267487931
34,35.0,0.8174306267487931
35,36.0,0.8174306267487931
36,37.0,0.8174306267487931
37,38.0,0.8174306267487931
38,39.0,0.817430626748793
39,40.0,0.8174306267487929
40,41.0,0.817430626748793
41,42.0,0.8174306267487931
42,43.0,0.817430626748793
43,44.0,0.817430626748793
44,45.0,0.817430626748793
45,46.0,0.8174306267487931
46,47.0,0.817430626748793
47,48.0,0.8174306267487931
48,49.0,0.8174306267487931
49,50.0,0.817430626748793
50,51.0,0.8174306267487929
51,52.0,0.8174306267487929
52,53.0,0.8174306267487931
53,54.0,0.8174306267487931
54,55.0,0.8174306267487929
55,56.0,0.817430626748793
56,57.0,0.8174306267487931
57,58.0,0.8174306267487931
58,59.0,0.8174306267487931
59,60.0,0.817430626748793
60,61.0,0.8174306267487931
61,62.0,0.8174306267487931
62,63.0,0.8174306267487929
63,64.0,0.8174306267487931
64,65.0,0.8174306267487929
65,66.0,0.8174306267487929
66,67.0,0.817430626748793
67,68.0,0.8174306267487929
68,69.0,0.8174306267487929
69,70.0,0.817430626748793
70,71.0,0.817430626748793
71,72.0,0.8174306267487931
72,73.0,0.8174306267487929
73,74.0,0.8174306267487929
74,75.0,0.8174306267487931
75,76.0,0.8174306267487929
76,77.0,0.817430626748793
77,78.0,0.817430626748793
78,79.0,0.817430626748793
79,80.0,0.817430626748793
80,81.0,0.817430626748793
81,82.0,0.8174306267487929
82,83.0,0.817430626748793
83,84.0,0.8174306267487931
84,85.0,0.8174306267487929
85,86.0,0.8174306267487931
86,87.0,0.8174306267487931
87,88.0,0.8174306267487929
88,89.0,0.8174306267487929
89,90.0,0.8174306267487929
90,91.0,0.8174306267487931
91,92.0,0.8174306267487931
92,93.0,0.817430626748793
93,94.0,0.8174306267487931
94,95.0,0.817430626748793
95,96.0,0.8174306267487931
96,97.0,0.8174306267487929
97,98.0,0.817430626748793
98,99.0,0.8174306267487929
