x,v3,v4,v6,v8,v9,v10,v11,v12,v13
-1,0.999739176667571,0.983043739992142,1.05353682550813,1.04847462408762,1.04483670529528,1.0537995350999,1.05459520927027,1.04931635076795,1.03078208982756
-0.9,1.00244708355786,0.987488530638083,1.05477238112989,1.04967618831199,1.04583467152353,1.05431182597841,1.0546851063518,1.04949509662946,1.03155200753488
-0.8,1.00512822379017,0.991890093082576,1.05599573976639,1.05086593799102,1.04682282234806,1.05481908461599,1.05477410867698,1.04967208598438,1.03231433317676
-0.7,1.00778335298057,0.996249645708901,1.05720724511407,1.05204420486364,1.04780143328972,1.05532145215786,1.05486224153209,1.04984736805471,1.03306928000035
-0.6,1.01041319184188,1.00056835064196,1.05840722501027,1.05321130539464,1.04877076718593,1.05581906325403,1.0549495290346,1.05002098979861,1.0338170514325
-0.5,1.01301842839955,1.00484731731935,1.05959599243948,1.05436754174254,1.04973107499424,1.05631204647069,1.05503599420747,1.05019299605371,1.03455784170207
-0.4,1.01559972003,1.00908760577625,1.0607738464589,1.05551320264986,1.05068259653156,1.05680052466881,1.05512165904743,1.05036342966906,1.03529183641241
-0.3,1.01815769533839,1.01329022967143,1.06194107305122,1.05664856426335,1.05162556115521,1.05728461535276,1.05520654458785,1.05053233162657,1.03601921306885
-0.2,1.02069295589092,1.01745615907924,1.06309794591129,1.05777389089089,1.05256018839143,1.05776443099218,1.05529067095681,1.05069974115321,1.03674014156532
-0.1,1.02320607781544,1.02158632306894,1.06424472717304,1.05888943570081,1.05348668851596,1.05824007931924,1.05537405743074,1.05086569582453,1.0374547846341
0,1.02569761328213,1.02568161209117,1.06538166808196,1.0599954413689,1.05440526309137,1.05871166360376,1.05545672248394,1.05103023166058,1.0381632982618
0.1,1.0281680918753,1.02974288018869,1.06650900961811,1.06109214067798,1.05531610546484,1.0591792829081,1.05553868383462,1.05119338321473,1.03886583207493
0.2,1.0306180218657,1.033770947047,1.06762698307408,1.06217975707398,1.0562194012299,1.05964303232363,1.05561995848747,1.05135518365602,1.03956252969741
0.3,1.03304789139227,1.03776659989888,1.06873581059164,1.06325850518251,1.0571153286554,1.0601030031903,1.05570056277323,1.05151566484574,1.04025352908275
0.4,1.03545816956084,1.04173059529523,1.06983570566091,1.06432859128918,1.05800405908433,1.06055928330094,1.05578051238553,1.05167485740857,1.04093896282288
0.5,1.03784930746702,1.04566366075361,1.0709268735849,1.06539021378688,1.05888575730515,1.06101195709136,1.05585982241512,1.05183279079888,1.04161895843573
0.6,1.0402217391494,1.0495664962946,1.0720095119126,1.06644356359253,1.05976058189795,1.0614611058176,1.0559385073818,1.05198949336246,1.04229363863321
0.7,1.04257588247891,1.05343977587519,1.07308381084291,1.06748882453604,1.06062868555735,1.0619068077213,1.0560165812642,1.05214499239417,1.04296312157126
0.8,1.04491213998942,1.05728414872751,1.07414995360201,1.0685261737236,1.06149021539418,1.06234913818414,1.05609405752762,1.05229931419176,1.04362752108346
0.9,1.04723089965422,1.0611002406104,1.07520811679614,1.0695557818773,1.0623453132175,1.06278816987232,1.05617094914999,1.05245248410622,1.04428694689937
1,1.04953253561277,1.06488865498072,1.07625847074171,1.07057781365305,1.06319411579858,1.06322397287167,1.05624726864624,1.05260452658888,1.04494150484897
