Z,I,P,Q,V,state
0.035,3,3.7470027081099E-16,0.705421766842759,0.235140588947586,FSS
0.04,3,8.04911692853239E-16,0.79723581692547,0.26574527230849,FSS
0.045,3,4.16333634234434E-16,0.881846123191496,0.293948707730499,FSS
0.05,3,1.22818422099158E-15,0.959736995673223,0.319912331891074,FSS
0.055,3,1.2490009027033E-16,1.03139815625308,0.343799385417694,FSS
0.06,3,6.07153216591883E-16,1.15794610688309,0.385982035627697,FSS
0.065,3,1.28369537222284E-15,1.21374305312855,0.404581017709515,FSS
0.07,3,1.02695629777827E-15,1.26512001688288,0.421706672294295,FSS
0.075,3,3.33066907387547E-16,1.31246474872545,0.437488249575151,FSS
0.08,3,3.60822483003176E-16,1.35613520218699,0.452045067395664,FSS
0.085,3,7.7715611723761E-16,1.39645983757525,0.465486612525082,FSS
0.09,3,4.16333634234434E-16,1.43373864340428,0.477912881134761,FSS
0.095,3,1.11022302462516E-16,1.46824462138861,0.489414873796204,FSS
0.1,3,1.16573417585641E-15,1.50022554311838,0.500075181039459,FSS
0.105,3,1.66533453693774E-16,1.52990583790105,0.509968612633684,FSS
0.11,3,3.33066907387547E-16,1.55748851210807,0.519162837369355,FSS
0.115,3,2.22044604925031E-16,1.5831570319005,0.527719010633499,FSS
0.12,3,6.66133814775094E-16,1.60707712494544,0.535692374981814,FSS
0.125,3,1.66533453693774E-16,1.62939847419488,0.543132824731627,FSS
0.13,3,1.11022302462516E-15,1.65025628934941,0.550085429783136,FSS
0.135,3,5.55111512312578E-17,1.66977275042713,0.556590916809043,FSS
0.14,3,6.66133814775094E-16,1.68805832384306,0.562686107947685,FSS
0.145,3,9.99200722162641E-16,1.70521295531838,0.568404318439461,FSS
0.15,3,1.33226762955019E-15,1.72132714635448,0.573775715451494,FSS
0.155,3,5.55111512312578E-16,1.73648292235747,0.578827640785825,FSS
0.16,3,1.58259609718218,2.5,0.986273029970024,PSS
0.165,3,1.64327823388075,2.5,0.997238595876201,PSS
0.17,3,1.69821329984159,2.5,1.0074129911014,PSS
0.175,3,1.74827967949612,2.5,1.01688423014941,PSS
0.18,3,1.7941590592518,2.5,1.02572504058215,PSS
0.185,3.00000000000002,1.8363943549526,2.5,1.03399678845953,PSS
0.19,3.00000000000001,1.87542705654689,2.5,1.04175208420068,PSS
0.195,2.99520183883784,0.999999999999999,2.5,0.898965261256649,USS
0.2,2.97129156377213,1,2.5,0.90619932301391,USS
0.205,2.94884016484011,1,2.5,0.913098795815285,USS
