,p,q,err
0,-1,-1,0.0802939153041861
1,-1,-0.97,0.069782857121213
2,-1,-0.94,0.0602058196216512
3,-1,-0.91,0.0515048818956101
4,-1,-0.88,0.043624267924547
5,-1,-0.85,0.0365103122475234
6,-1,-0.82,0.0301114263197044
7,-1,-0.79,0.0243780655590271
8,-1,-0.76,0.0192626970572262
9,-1,-0.73,0.0147197679439775
10,-1,-0.7,0.0107056743844208
11,-1,-0.67,0.00717873120035275
12,-1,-0.64,0.00409914209607477
13,-1,-0.61,0.00142897047653053
14,-1,-0.58,0.000867889152647391
15,-1,-0.55,0.00282573922504349
16,-1,-0.52,0.00447710659790591
17,-1,-0.49,0.00585276949643293
18,-1,-0.46,0.00698178393329408
19,-1,-0.429999999999999,0.00789150961155416
20,-1,-0.4,0.00860763532618901
21,-1,-0.369999999999999,0.00915420386924526
22,-1,-0.339999999999999,0.00955363646217096
23,-1,-0.309999999999999,0.00982675670849764
24,-1,-0.279999999999999,0.00999281409708627
25,-1,-0.249999999999999,0.0100695070486041
26,-1,-0.219999999999999,0.0100730055293198
27,-1,-0.189999999999999,0.0100179732323873
28,-1,-0.159999999999999,0.00991758933994153
29,-1,-0.129999999999999,0.00978356987724988
30,-1,-0.0999999999999992,0.00962618866578451
31,-1,-0.0699999999999992,0.00945429788138894
32,-1,-0.0399999999999991,0.0092753482326062
33,-1,-0.00999999999999912,0.0090954087626406
34,-1,0.0200000000000009,0.0089191862855703
35,-1,0.0500000000000009,0.00875004446156093
36,-1,0.080000000000001,0.00859002252806617
37,-1,0.110000000000001,0.00843985367763875
38,-1,0.140000000000001,0.00829898310941221
39,-1,0.170000000000001,0.00816558574978938
40,-1,0.200000000000001,0.00803658365003549
41,-1,0.230000000000001,0.0079076630710647
42,-1,0.260000000000001,0.00777329126274173
43,-1,0.290000000000001,0.00762673293867031
44,-1,0.320000000000001,0.00746006646533462
45,-1,0.350000000000001,0.00726419974535129
46,-1,0.380000000000001,0.00702888584466752
47,-1,0.410000000000001,0.00674273832228461
48,-1,0.440000000000001,0.00639324630086818
49,-1,0.470000000000001,0.00596678926984841
50,-1,0.500000000000001,0.00544865163640262
51,-1,0.530000000000001,0.00482303701188393
52,-1,0.560000000000001,0.00407308226243205
53,-1,0.590000000000001,0.00318087131204162
54,-1,0.620000000000001,0.00212744870949024
55,-1,0.650000000000001,0.000892832959634265
56,-1,0.680000000000002,0.000543970365171398
57,-1,0.710000000000002,0.00220495574128772
58,-1,0.740000000000002,0.00411310502448477
59,-1,0.770000000000002,0.0062923750014609
60,-1,0.800000000000002,0.00876768513643803
61,-1,0.830000000000002,0.0115649055351246
62,-1,0.860000000000002,0.0147108451001473
63,-1,0.890000000000002,0.0182332398884749
64,-1,0.920000000000002,0.0221607416540396
65,-1,0.950000000000002,0.0265229065836066
66,-1,0.980000000000002,0.0313501842164285
67,-0.97,-1,0.0734816908116773
68,-0.97,-0.97,0.0634247362479167
69,-0.97,-0.94,0.0542844815245092
70,-0.97,-0.91,0.0460033295351392
71,-0.97,-0.88,0.0385258229371574
72,-0.97,-0.85,0.0317986099236131
73,-0.97,-0.82,0.0257704106868479
74,-0.97,-0.79,0.0203919845705317
75,-0.97,-0.76,0.0156160978754115
76,-0.97,-0.73,0.0113974923255235
77,-0.97,-0.7,0.00769285415956962
78,-0.97,-0.67,0.00446078384453083
79,-0.97,-0.64,0.00166176639267746
80,-0.97,-0.61,0.000741857730120332
81,-0.97,-0.58,0.00278592111948622
82,-0.97,-0.55,0.0045044573882858
83,-0.97,-0.52,0.00592972856399336
84,-0.97,-0.49,0.00709225195823163
85,-0.97,-0.46,0.00802082650359152
86,-0.97,-0.429999999999999,0.00874255857958849
87,-0.97,-0.4,0.00928288733944115
88,-0.97,-0.369999999999999,0.00966560954333731
89,-0.97,-0.339999999999999,0.00991290391448445
90,-0.97,-0.309999999999999,0.0100453550256216
91,-0.97,-0.279999999999999,0.0100819767316994
92,-0.97,-0.249999999999999,0.0100402351493992
93,-0.97,-0.219999999999999,0.00993607120401968
94,-0.97,-0.189999999999999,0.00978392274914079
95,-0.97,-0.159999999999999,0.0095967462634339
96,-0.97,-0.129999999999999,0.00938603814570828
97,-0.97,-0.0999999999999992,0.00916185560498499
98,-0.97,-0.0699999999999992,0.00893283716292974
99,-0.97,-0.0399999999999991,0.00870622277243583
100,-0.97,-0.00999999999999912,0.0084878735662439
101,-0.97,0.0200000000000009,0.00828229123438236
102,-0.97,0.0500000000000009,0.00809263704975932
103,-0.97,0.080000000000001,0.00792075054382486
104,-0.97,0.110000000000001,0.00776716783364315
105,-0.97,0.140000000000001,0.00763113962502522
106,-0.97,0.170000000000001,0.00751064888151699
107,-0.97,0.200000000000001,0.00740242817467314
108,-0.97,0.230000000000001,0.00730197672269896
109,-0.97,0.260000000000001,0.00720357712342297
110,-0.97,0.290000000000001,0.00710031178230759
111,-0.97,0.320000000000001,0.00698407905879674
112,-0.97,0.350000000000001,0.00684560910791458
113,-0.97,0.380000000000001,0.00667447946284127
114,-0.97,0.410000000000001,0.00645913032371358
115,-0.97,0.440000000000001,0.0061868795895463
116,-0.97,0.470000000000001,0.00584393761863034
117,-0.97,0.500000000000001,0.00541542174343891
118,-0.97,0.530000000000001,0.00488537051943244
119,-0.97,0.560000000000001,0.00423675773431227
120,-0.97,0.590000000000001,0.00345150617975089
121,-0.97,0.620000000000001,0.00251050118075107
122,-0.97,0.650000000000001,0.00139360389107201
123,-0.97,0.680000000000002,7.9664373160423E-05
124,-0.97,0.710000000000002,0.00145346555629444
