x,Q,Ploss
0,0,1.25146235315838
0,0.01,1.25146235315838
0,0.02,1.25146235315838
0,0.03,1.25146235315838
0,0.04,1.25146235315838
0,0.05,1.25146235315838
0,0.06,1.25146235315838
0,0.07,1.25146235315838
0,0.08,1.25146235315838
0,0.09,1.25146235315838
0,0.1,1.25146235315838
0,0.11,1.25146235315838
0,0.12,1.25146235315838
0,0.13,1.25146235315838
0,0.14,1.25146235315838
0,0.15,1.25146235315838
0,0.16,1.25146235315838
0,0.17,1.25146235315838
0,0.18,1.25146235315838
0,0.19,1.25146235315838
0,0.2,1.25146235315838
0,0.21,1.25146235315838
0,0.22,1.25146235315838
0,0.23,1.25146235315838
0,0.24,1.25146235315838
0,0.25,1.25146235315838
0,0.26,1.25146235315838
0,0.27,1.25146235315838
0,0.28,1.25146235315838
0,0.29,1.25146235315838
0,0.3,1.25146235315838
0,0.31,1.25146235315838
0,0.32,1.25146235315838
0,0.33,1.25146235315838
0,0.34,1.25146235315838
0,0.35,1.25146235315838
0,0.36,1.25146235315838
0,0.37,1.25146235315838
0,0.38,1.25146235315838
0,0.39,1.25146235315838
0,0.4,1.25146235315838
0,0.41,1.25146235315838
0,0.42,1.25146235315838
0,0.43,1.25146235315838
0,0.44,1.25146235315838
0,0.45,1.25146235315838
0,0.46,1.25146235315838
0,0.47,1.25146235315838
0,0.48,1.25146235315838
0,0.49,1.25146235315838
1,0,1.25146235315838
1,0.01,1.25105255310367
1,0.02,1.25065278592351
1,0.03,1.25026305101441
1,0.04,1.24988334777265
1,0.05,1.24951367559495
1,0.06,1.24915403387787
1,0.07,1.24880442201806
1,0.08,1.24846483941192
1,0.09,1.24813528545678
1,0.1,1.24781575954909
1,0.11,1.24750626108589
1,0.12,1.24720678946423
1,0.13,1.24691734408104
1,0.14,1.24663792433337
1,0.15,1.24636852961841
1,0.16,1.24610915933357
1,0.17,1.24585981287586
1,0.18,1.24562048964278
1,0.19,1.2453911890318
1,0.2,1.24517191044031
1,0.21,1.24496265326588
1,0.22,1.24476341690602
1,0.23,1.24457420075861
1,0.24,1.24439500422122
1,0.25,1.24422582669172
1,0.26,1.24406666756794
1,0.27,1.24391752624778
1,0.28,1.24377840212925
1,0.29,1.24364929461037
1,0.3,1.24353020308935
1,0.31,1.24342112696418
1,0.32,1.24332206563336
1,0.33,1.24323301849511
1,0.34,1.24315398494749
1,0.35,1.24308496438934
1,0.36,1.24302595621891
1,0.37,1.2429769598349
1,0.38,1.24293797463586
1,0.39,1.24290900002047
1,0.4,1.24289003538743
1,0.41,1.24288108013559
1,0.42,1.24288213366388
1,0.43,1.24289319537122
1,0.44,1.24291426465651
1,0.45,1.24294534091888
1,0.46,1.24298642355748
1,0.47,1.24303751197146
1,0.48,1.24309860556006
1,0.49,1.2431697037227
