Z,I,P,Q,V,state
0.07,9.65960094233457,8,6.07633229991147,1.04,USS
0.075,8.91129840991637,7.99999999999999,4.67880288979834,1.04,USS
0.08,8.48483383280129,8,3.72384014588995,1.04,USS
0.085,8.22384262776276,8,3.02495043126504,1.04,USS
0.09,8.0571392468615,7.99999999999999,2.49294208904471,1.04,USS
0.095,7.94737417933905,8,2.07717935294313,1.04,USS
0.1,7.87337845081311,8,1.74598952725216,1.04,USS
0.105,7.82253312661193,8,1.47827389800515,1.04,USS
0.11,7.78703274378034,8,1.25933707769131,1.04,USS
0.115,7.76190676023981,8.00000000000001,1.07859528717513,1.04,USS
0.12,7.74391334221244,8,0.928223286711895,1.04,USS
0.125,7.73089498608324,8,0.802311067088091,1.04,USS
0.13,7.72139065447484,8.00000000000001,0.696315537636988,1.04,USS
0.135,7.71439585851587,8,0.606691671590102,1.04,USS
0.14,7.70921075308078,8,0.5306373139408,1.04,USS
0.145,7.70534198450679,8,0.465912414747994,1.04,USS
0.15,7.7024381232668,8,0.410708377127381,1.04,USS
0.155,7.70024650621954,8,0.36355196475927,1.04,USS
0.16,7.6985839732226,8,0.323233538620414,1.04,USS
0.165,7.69731676697627,8,0.288752732845682,1.04,USS
0.17,7.69634656441785,8,0.259276831784059,1.04,USS
0.175,7.69560066558022,8,0.234108529899033,1.04,USS
0.18,7.69502503557697,8,0.212660712135534,1.04,USS
0.185,7.69457932631253,8,0.194436548117199,1.04,USS
0.19,7.69423328586004,8,0.179013650840188,1.04,USS
0.195,7.69396414960824,8,0.166031374234378,1.04,USS
0.2,7.69375473198573,8,0.155180556225897,1.04,USS
0.205,7.69359202207512,8,0.14619518265828,1.04,USS
0.21,7.69346614430148,8.00000000000001,0.138845571393423,1.04,USS
0.215,7.69336958540644,8,0.132932767945785,1.04,USS
0.22,7.69329661686049,7.99999999999999,0.12828391299356,1.04,USS
0.225,7.6932428615369,8,0.124748394290488,1.04,USS
0.23,7.69320496743372,8,0.122194635300283,1.04,USS
0.235,7.69318036121372,8,0.12050740346515,1.04,USS
0.24,7.69316706152189,8.00000000000001,0.119585544705005,1.04,USS
0.245,7.6931635372523,7.99999999999999,0.119340069208057,1.04,USS
0.25,7.69316859973756,8,0.119692528060069,1.04,USS
0.255,7.69318132062228,8,0.120573631696034,1.04,USS
0.26,7.69320096924008,8,0.12192207023622,1.04,USS
0.265,7.6932269648377,8,0.123683503016525,1.04,USS
0.27,7.69325884012642,8,0.125809690437055,1.04,USS
0.275,7.69329621349053,7.99999999999999,0.128257745941861,1.04,USS
0.28,7.69333876782183,8,0.130989489740144,1.04,USS
0.285,7.69338623443008,8,0.133970888968819,1.04,USS
0.29,7.69343838084465,7.99999999999999,0.137171571521864,1.04,USS
0.295,7.69349500159924,8,0.140564402842282,1.04,USS
0.3,7.69355591130228,8,0.144125116678035,1.04,USS
0.305,7.69362093945764,8,0.14783199221424,1.04,USS
0.31,7.6936899266227,8,0.151665571162173,1.04,USS
0.315,7.69376272158637,8,0.155608409359727,1.04,USS
0.32,7.69383917932238,8,0.159644858250631,1.04,USS
0.325,7.69391915952919,8,0.163760872290668,1.04,USS
0.33,7.69400252561131,8,0.167943838900948,1.04,USS
0.335,7.69408914399056,8,0.172182428070617,1.04,USS
0.34,7.69417888366142,8,0.176466459118545,1.04,USS
0.345,7.69427161592478,8,0.180786782468228,1.04,USS
0.35,7.69436721425003,8,0.185135174584166,1.04,USS
0.355,7.69446555422735,8,0.189504244466585,1.04,USS
0.36,7.69456651358132,8,0.193887350314926,1.04,USS
0.365,7.69466997222431,8,0.19827852515316,1.04,USS
0.37,7.69477581233358,7.99999999999999,0.202672410365367,1.04,USS
0.375,7.69488391844009,8,0.207064196225495,1.04,USS
0.38,7.69499417752063,8.00000000000001,0.211449568620249,1.04,USS
0.385,7.69510647908729,8,0.215824661263905,1.04,USS
0.39,7.69522071526999,8,0.220186012790778,1.04,USS
0.395,7.69533678088935,8,0.224530528185305,1.04,USS
0.4,7.6954545735185,8,0.228855444074867,1.04,USS
0.405,7.69557399353283,8,0.233158297467119,1.04,USS
0.41,7.69569494414745,8,0.237436897562676,1.04,USS
0.415,7.69581733144274,8,0.241689300316547,1.04,USS
0.42,7.69594106437819,8,0.245913785460338,1.04,USS
0.425,7.69606605479551,8,0.250108835728521,1.04,USS
0.43,7.69619221741154,8,0.254273118062605,1.04,USS
0.435,7.69631946980202,8,0.258405466590787,1.04,USS
0.44,7.69644773237714,8.00000000000001,0.262504867203784,1.04,USS
0.445,7.69657692834946,8,0.266570443567494,1.04,USS
0.45,7.69670698369562,8.00000000000001,0.270601444429033,1.04,USS
0.455,7.69683782711206,8,0.274597232089496,1.04,USS
0.46,7.69696938996607,8,0.278557271929498,1.04,USS
0.465,7.69710160624256,8,0.282481122885275,1.04,USS
0.47,7.69723441248744,8,0.286368428784681,1.04,USS
0.475,7.6973677477481,8,0.290218910460737,1.04,USS
0.48,7.69750155351168,8,0.294032358569585,1.04,USS
0.485,7.69763577364154,8,0.297808627046641,1.04,USS
0.49,7.69777035431247,8,0.301547627141713,1.04,USS
0.495,7.69790524394504,7.99999999999999,0.30524932197938,1.04,USS
