,p,q,err,err2
0,-1,-1,0.0802939153041861,8.02939153041861
1,-1,-0.97,0.069782857121213,6.9782857121213
2,-1,-0.94,0.0602058196216512,6.02058196216512
3,-1,-0.91,0.0515048818956101,5.15048818956101
4,-1,-0.88,0.043624267924547,4.3624267924547
5,-1,-0.85,0.0365103122475234,3.65103122475234
6,-1,-0.82,0.0301114263197044,3.01114263197044
7,-1,-0.79,0.0243780655590271,2.43780655590271
8,-1,-0.76,0.0192626970572262,1.92626970572262
9,-1,-0.73,0.0147197679439775,1.47197679439775
10,-1,-0.7,0.0107056743844208,1.07056743844208
11,-1,-0.67,0.00717873120035275,0.717873120035275
12,-1,-0.64,0.00409914209607477,0.409914209607477
13,-1,-0.61,0.00142897047653053,0.142897047653053
14,-1,-0.58,0.000867889152647391,0.0867889152647391
15,-1,-0.55,0.00282573922504349,0.282573922504349
16,-1,-0.52,0.00447710659790591,0.447710659790591
17,-1,-0.49,0.00585276949643293,0.585276949643293
18,-1,-0.46,0.00698178393329408,0.698178393329408
19,-1,-0.429999999999999,0.00789150961155416,0.789150961155416
20,-1,-0.4,0.00860763532618901,0.860763532618901
21,-1,-0.369999999999999,0.00915420386924526,0.915420386924526
22,-1,-0.339999999999999,0.00955363646217096,0.955363646217096
23,-1,-0.309999999999999,0.00982675670849764,0.982675670849764
24,-1,-0.279999999999999,0.00999281409708627,0.999281409708627
25,-1,-0.249999999999999,0.0100695070486041,1.00695070486041
26,-1,-0.219999999999999,0.0100730055293198,1.00730055293198
27,-1,-0.189999999999999,0.0100179732323873,1.00179732323873
28,-1,-0.159999999999999,0.00991758933994153,0.991758933994153
29,-1,-0.129999999999999,0.00978356987724988,0.978356987724988
30,-1,-0.0999999999999992,0.00962618866578451,0.962618866578451
31,-1,-0.0699999999999992,0.00945429788138894,0.945429788138894
32,-1,-0.0399999999999991,0.0092753482326062,0.92753482326062
33,-1,-0.00999999999999912,0.0090954087626406,0.90954087626406
34,-1,0.0200000000000009,0.0089191862855703,0.89191862855703
35,-1,0.0500000000000009,0.00875004446156093,0.875004446156093
36,-1,0.080000000000001,0.00859002252806617,0.859002252806617
37,-1,0.110000000000001,0.00843985367763875,0.843985367763875
38,-1,0.140000000000001,0.00829898310941221,0.829898310941221
39,-1,0.170000000000001,0.00816558574978938,0.816558574978938
40,-1,0.200000000000001,0.00803658365003549,0.803658365003549
41,-1,0.230000000000001,0.0079076630710647,0.79076630710647
42,-1,0.260000000000001,0.00777329126274173,0.777329126274173
43,-1,0.290000000000001,0.00762673293867031,0.762673293867031
44,-1,0.320000000000001,0.00746006646533462,0.746006646533462
45,-1,0.350000000000001,0.00726419974535129,0.726419974535129
46,-1,0.380000000000001,0.00702888584466752,0.702888584466752
47,-1,0.410000000000001,0.00674273832228461,0.674273832228461
48,-1,0.440000000000001,0.00639324630086818,0.639324630086818
49,-1,0.470000000000001,0.00596678926984841,0.596678926984841
50,-1,0.500000000000001,0.00544865163640262,0.544865163640262
51,-1,0.530000000000001,0.00482303701188393,0.482303701188393
52,-1,0.560000000000001,0.00407308226243205,0.407308226243205
53,-1,0.590000000000001,0.00318087131204162,0.318087131204162
54,-1,0.620000000000001,0.00212744870949024,0.212744870949024
55,-1,0.650000000000001,0.000892832959634265,0.0892832959634265
56,-1,0.680000000000002,0.000543970365171398,0.0543970365171398
57,-1,0.710000000000002,0.00220495574128772,0.220495574128772
58,-1,0.740000000000002,0.00411310502448477,0.411310502448477
59,-1,0.770000000000002,0.0062923750014609,0.62923750014609
60,-1,0.800000000000002,0.00876768513643803,0.876768513643803
61,-1,0.830000000000002,0.0115649055351246,1.15649055351246
62,-1,0.860000000000002,0.0147108451001473,1.47108451001473
63,-1,0.890000000000002,0.0182332398884749,1.82332398884749
64,-1,0.920000000000002,0.0221607416540396,2.21607416540396
65,-1,0.950000000000002,0.0265229065836066,2.65229065836066
66,-1,0.980000000000002,0.0313501842164285,3.13501842164285
67,-0.97,-1,0.0734816908116773,7.34816908116773
68,-0.97,-0.97,0.0634247362479167,6.34247362479167
69,-0.97,-0.94,0.0542844815245092,5.42844815245092
70,-0.97,-0.91,0.0460033295351392,4.60033295351392
71,-0.97,-0.88,0.0385258229371574,3.85258229371574
72,-0.97,-0.85,0.0317986099236131,3.17986099236131
73,-0.97,-0.82,0.0257704106868479,2.57704106868479
74,-0.97,-0.79,0.0203919845705317,2.03919845705317
75,-0.97,-0.76,0.0156160978754115,1.56160978754115
76,-0.97,-0.73,0.0113974923255235,1.13974923255236
77,-0.97,-0.7,0.00769285415956962,0.769285415956962
78,-0.97,-0.67,0.00446078384453083,0.446078384453083
79,-0.97,-0.64,0.00166176639267746,0.166176639267746
80,-0.97,-0.61,0.000741857730120332,0.0741857730120332
81,-0.97,-0.58,0.00278592111948622,0.278592111948622
82,-0.97,-0.55,0.0045044573882858,0.45044573882858
83,-0.97,-0.52,0.00592972856399336,0.592972856399336
84,-0.97,-0.49,0.00709225195823163,0.709225195823163
85,-0.97,-0.46,0.00802082650359152,0.802082650359152
86,-0.97,-0.429999999999999,0.00874255857958849,0.874255857958849
